ace_diff,df_diff,bpFaced_diff,SvGms_diff,1stServe%_diff,1stServePWon%_diff,2ndServePWon%_diff,BreakPWon%_diff,rank_diff,rank_points_diff,age_diff,outcome
1.0,-2.0,-9.0,0.0,0.06596481876332638,-0.07982559114539656,0.1333333333333333,0.22023809523809523,-93.0,1738.0,-2.9979466119000016,yes
-5.0,3.0,1.0,1.0,0.029354207436399382,0.05999999999999994,0.11521739130434788,-0.4444444444444444,-3.0,44.0,0.4572210814999984,yes
-2.0,-1.0,-2.0,1.0,0.1673212882953653,0.12,0.09926470588235292,-0.16666666666666669,-6.0,340.0,2.0287474332999977,yes
-1.0,0.0,1.0,1.0,-0.23041666666666666,0.015957446808510634,0.15306122448979592,0.0,-38.0,1280.0,6.234086242300005,yes
4.0,6.0,4.0,1.0,-0.039548022598870025,0.17567567567567566,0.17676767676767668,0.08653846153846156,-22.0,1053.0,0.8624229980000031,yes
8.0,1.0,1.0,0.0,0.1232718894009216,0.0980392156862745,0.019886363636363702,-0.08333333333333337,-194.0,282.0,3.2224503764999994,yes
3.0,0.0,-7.0,-1.0,0.06864197530864213,0.06578947368421051,0.1783333333333333,0.27564102564102566,-6.0,375.0,-9.864476386099998,yes
1.0,1.0,0.0,1.0,0.15087719298245617,-0.059615384615384626,0.15714285714285708,-0.11688311688311687,16.0,-1293.0,-2.0670773442999995,yes
-2.0,-1.0,-3.0,1.0,0.0279166666666667,0.2104037267080745,-0.06725146198830412,0.7,14.0,-570.0,3.3073237507999984,yes
2.0,-2.0,-5.0,0.0,0.1183333333333334,0.19463869463869465,0.19786096256684488,0.5714285714285714,-49.0,535.0,-3.6522929499999996,yes
-3.0,1.0,1.0,-1.0,0.03968253968253965,-0.00842146494320406,0.04723346828609981,0.23015873015873012,-25.0,2265.0,3.9479808351000045,yes
3.0,-5.0,-16.0,-1.0,0.01089776855215363,0.2777777777777778,0.38823529411764707,0.3846153846153846,-52.0,2180.0,4.673511293599997,yes
1.0,5.0,0.0,1.0,-0.20833333333333337,0.2214452214452215,0.31818181818181823,0.19047619047619047,-120.0,1485.0,9.163586584499999,yes
-1.0,-10.0,-4.0,-1.0,0.1355795148247979,-0.09708193041526386,0.09846153846153843,0.2,21.0,-750.0,8.314852840599997,yes
8.0,2.0,-5.0,1.0,0.24894869638351552,0.19761904761904758,0.2121212121212121,-0.6842105263157895,-92.0,3848.0,1.325119780999998,yes
1.0,-2.0,-6.0,0.0,-0.24683544303797467,0.1418376449598573,0.1473684210526316,0.16666666666666663,-90.0,3832.0,4.908966461299997,yes
-6.0,-1.0,-6.0,0.0,-0.02910052910052907,-0.060810810810810856,-0.017156862745098034,0.19780219780219788,27.0,-211.0,2.852840520200001,yes
-2.0,-5.0,-2.0,1.0,0.0593149540517961,0.03310696095076404,0.17230769230769227,-0.2857142857142857,-105.0,3924.0,2.858316221799999,yes
-1.0,-5.0,-6.0,-1.0,0.18435374149659867,0.05310049893086255,0.09986257443884566,0.3076923076923077,-7.0,47.0,2.2696783026000027,yes
3.0,1.0,-2.0,0.0,-0.18686868686868685,0.2938775510204082,-0.08823529411764708,-0.11538461538461542,21.0,-201.0,0.7967145790000032,yes
-4.0,-1.0,-7.0,1.0,0.13765060240963856,0.08874458874458868,-0.046992481203007475,-0.33333333333333337,6.0,-39.0,5.475701574200002,yes
1.0,0.0,-5.0,-1.0,-0.04308390022675734,0.2025862068965517,0.20217391304347837,-0.1923076923076923,-134.0,4097.0,-0.12046543459999981,yes
4.0,3.0,0.0,1.0,0.14956521739130435,0.24403183023872677,0.19251336898395716,0.5,-302.0,497.0,-2.8665297742,yes
0.0,-1.0,-5.0,1.0,-0.0002948113207547065,0.19252873563218387,0.16354679802955674,0.33333333333333337,64.0,-962.0,-3.4360027377999955,yes
0.0,2.0,-6.0,0.0,0.04832451499118162,-0.14184397163120566,0.07918552036199106,0.3714285714285714,50.0,-404.0,-2.5598904860000005,yes
1.0,-3.0,-6.0,0.0,0.014743589743589802,0.47826086956521746,0.14338235294117646,0.0,-60.0,485.0,-0.9828884326000029,yes
3.0,-1.0,3.0,1.0,0.13795518207282909,-0.14949494949494957,0.25217391304347825,0.6,31.0,-382.0,-5.623545516799997,yes
0.0,2.0,-4.0,0.0,0.19999999999999996,0.06593406593406603,0.24786324786324787,0.9,4.0,-25.0,-4.4928131416999975,yes
2.0,1.0,-6.0,-1.0,-0.04712393090726141,0.13644688644688652,0.26839826839826836,-0.6,19.0,-149.0,-1.8809034906999997,yes
0.0,-1.0,-5.0,1.0,0.1794466403162056,-0.041170634920634885,0.02991452991452992,0.18823529411764706,-103.0,3908.0,4.024640657100001,yes
2.0,-3.0,-4.0,0.0,0.2597984322508399,-0.03125,0.48787878787878786,0.46666666666666673,-41.0,116.0,6.302532511899997,yes
-1.0,0.0,-2.0,0.0,0.02640437618346314,0.12057416267942589,-0.04011627906976739,0.044871794871794934,293.0,-444.0,1.0184804929000002,yes
1.0,2.0,0.0,1.0,0.07011494252873562,0.0035714285714285587,0.0892857142857143,-0.3166666666666667,62.0,-531.0,-0.6625598905000025,yes
7.0,1.0,3.0,1.0,-0.037735849056603765,0.2594594594594595,0.06944444444444442,0.125,-55.0,912.0,1.5660506501999976,yes
4.0,-1.0,-7.0,1.0,-0.031189083820662766,0.25,0.12181818181818183,0.3214285714285714,16.0,-117.0,-2.088980150499996,yes
8.0,-1.0,-4.0,0.0,0.20815850815850823,-0.0035714285714285587,0.08349146110056921,-0.08333333333333337,6.0,-34.0,-4.632443531900002,yes
4.0,-4.0,-2.0,0.0,0.16917670682730923,-0.01205997392438074,0.08333333333333337,0.0,-88.0,625.0,-3.7207392197000004,yes
-3.0,-1.0,1.0,1.0,-0.08303030303030301,0.1776397515527951,0.0011123470522803047,0.025000000000000022,-54.0,444.0,2.3381245721999946,yes
1.0,-2.0,-12.0,0.0,-0.05631868131868123,0.205026455026455,0.017241379310344862,0.4047619047619048,-16.0,111.0,1.604380561300001,yes
8.0,-1.0,-4.0,1.0,-0.10741074107410742,0.21586575133485886,-0.13988095238095233,0.19444444444444442,-17.0,147.0,-4.2600958248000005,yes
0.0,0.0,-5.0,0.0,-0.06406779661016948,0.21597096188747733,0.1428571428571428,-0.16666666666666669,-74.0,694.0,2.548939082799997,yes
-1.0,-2.0,2.0,1.0,-0.1582469053195048,0.25602836879432633,0.3120300751879699,0.29166666666666663,39.0,-324.0,3.6249144421000032,yes
-7.0,-8.0,-2.0,0.0,0.009090909090909038,0.01689976689976691,-0.0631313131313131,0.025000000000000022,-25.0,150.0,3.4113620807999965,yes
4.0,2.0,-11.0,0.0,-0.13333333333333341,0.048387096774193505,0.1416666666666666,-0.3333333333333333,24.0,-208.0,-8.281998631,yes
-1.0,1.0,-6.0,0.0,0.004500160720025681,0.23519736842105265,-0.032036613272311165,-0.2615384615384616,66.0,-3380.0,-3.915126625600003,yes
5.0,-2.0,-10.0,,0.07914438502673804,0.5,0.164021164021164,0.5,-154.0,12848.0,14.576317590700008,yes
7.0,1.0,-3.0,,0.033264033264033266,0.0,0.05128205128205132,-0.07142857142857145,2.0,-8.0,2.6639288157999985,yes
